RT_ID,ARCO,DISTANCIA
12OMA,ESTAMAJ -MERMACA,558
12OMA,MERMACA -C12CH3A,188
12OMA,C12CH3A -CAHCH4A,199
12OMA,CAHCH4A -EJMCH3A,250
12OMA,EJMCH3A -PAQSANA,227
12OMA,PAQSANA -SAEDESA,229
12OMA,SAEDESA -AVBCE3A,186
12OMA,AVBCE3A -MELCHCA,255
12OMA,MELCHCA -GIMMARA,293
12OMA,GIMMARA -ESTAMAJ,703
ACNAL-I,EALCDIA -CESAZ3A,184
ACNAL-I,CESAZ3A -CJGAZ3A,435
ACNAL-I,CJGAZ3A -BOMAZ3A,319
ACNAL-I,BOMAZ3A -CTAAZ3A,279
ACNAL-I,CTAAZ3A -IGLAZ3A,227
ACNAL-I,IGLAZ3A -CORAZ3A,240
ACNAL-I,CORAZ3A -OLAAZ3A,223
ACNAL-I,OLAAZ3A -LIVAZ3A,253
ACNAL-I,LIVAZ3A -ALTAZ3A,243
ACNAL-I,ALTAZ3A -GRIAZ3A,147
ACNAL-I,GRIAZ3A -CA7AZ3A,488
ACNAL-I,CA7AZ3A -C4BCB1A,402
ACNAL-I,C4BCB1A -MELCB1A,560
ACNAL-I,MELCB1A -JUDCB1A,390
ACNAL-I,JUDCB1A -MOCON1A,335
ACNAL-I,MOCON1A -ECATK4A,461
ACNAL-I,ECATK4A -CABTK1A,266
ACNAL-I,CABTK1A -FLOTK1A,494
ACNAL-I,FLOTK1A -EBETK1A,681
ACNAL-I,EBETK1A -PLCTK1A,205
ACNAL-I,PLCTK1A -GONTK1A,428
ACNAL-I,GONTK1A -LAJTK1A,701
ACNAL-I,LAJTK1A -PALTK1A,400
ACNAL-I,PALTK1A -ROCTK1A,354
ACNAL-I,ROCTK1A -ULATK1A,383
ACNAL-I,ULATK1A -ZAITK1A,291
ACNAL-I,ZAITK1A -CELTK1A,346
ACNAL-I,CELTK1A -CHITK1A,247
ACNAL-I,CHITK1A -MILTK1A,677
ACNAL-I,MILTK1A -BNPTK1A,308
ACNAL-I,BNPTK1A -ESTSI1A,371
ACNAL-I,ESTSI1A -CRUTK1A,330
ACNAL-I,CRUTK1A -TINCN1A,3070
ACNAL-I,TINCN1A -GMSCN1A,8442
ACNAL-I,GMSCN1A -AVNCE4A,280
ACNAL-I,AVNCE4A -MSOCE1A,293
ACNAL-I,MSOCE1A -PERVE3A,598
ACNAL-I,PERVE3A -IGLDB3A,274
ACNAL-I,IGLDB3A -PCACE3A,288
ACNAL-I,PCACE3A -CAMCE3A,640
ACNAL-I,CAMCE3A -MOGCE4A,59
ACNAL-I,MOGCE4A -ABACE1A,742
ACNAL-I,ABACE1A -PNACE1A,565
ACNAL-I,PNACE1A -ALBROCG,2518
ACNAL-R,ALBROCG -PNACE2A,3154
ACNAL-R,PNACE2A -ABACE2A,317
ACNAL-R,ABACE2A -MOGCE4A,993
ACNAL-R,MOGCE4A -ESTAMAH,1038
ACNAL-R,ESTAMAH -MCACE3A,405
ACNAL-R,MCACE3A -C28CE3A,338
ACNAL-R,C28CE3A -LONCE3A,284
ACNAL-R,LONCE3A -PFACE3A,279
ACNAL-R,PFACE3A -MEFCE4A,139
ACNAL-R,MEFCE4A -BELCE3A,535
ACNAL-R,BELCE3A -C45JA3A,625
ACNAL-R,C45JA3A -ARAJA4A,146
ACNAL-R,ARAJA4A -MSOCE2A,325
ACNAL-R,MSOCE2A -AVNCE4A,289
ACNAL-R,AVNCE4A -GMSCN2A,275
ACNAL-R,GMSCN2A -TINCN2A,8326
ACNAL-R,TINCN2A -ETITK3A,2410
ACNAL-R,ETITK3A -CSITK2A,208
ACNAL-R,CSITK2A -ESTSI2A,665
ACNAL-R,ESTSI2A -BNPTK2A,189
ACNAL-R,BNPTK2A -MILTK2A,124
ACNAL-R,MILTK2A -CHITK2A,684
ACNAL-R,CHITK2A -CELTK2A,278
ACNAL-R,CELTK2A -ZAITK2A,313
ACNAL-R,ZAITK2A -ULATK2A,240
ACNAL-R,ULATK2A -ROCTK2A,428
ACNAL-R,ROCTK2A -PALTK2A,268
ACNAL-R,PALTK2A -LAJTK2A,463
ACNAL-R,LAJTK2A -GONTK2A,764
ACNAL-R,GONTK2A -EBETK2A,538
ACNAL-R,EBETK2A -FLOTK2A,593
ACNAL-R,FLOTK2A -CABTK2A,611
ACNAL-R,CABTK2A -ECATK4A,295
ACNAL-R,ECATK4A -CIUCB2A,508
ACNAL-R,CIUCB2A -VCUTK2A,586
ACNAL-R,VCUTK2A -ROQTK2A,327
ACNAL-R,ROQTK2A -EALCDIA,632
ACNAL-R,EALCDIA -CESAZ3A,184
ACNAL-R,CESAZ3A -CJGAZ3A,435
ACNAL-R,CJGAZ3A -BOMAZ3A,319
ACNAL-R,BOMAZ3A -CTAAZ3A,279
ACNAL-R,CTAAZ3A -IGLAZ3A,227
ACNAL-R,IGLAZ3A -CORAZ3A,240
ACNAL-R,CORAZ3A -OLAAZ3A,223
ACNAL-R,OLAAZ3A -LIVAZ3A,253
ACNAL-R,LIVAZ3A -ALTAZ3A,243
ACNAL-R,ALTAZ3A -GRIAZ3A,147
ACNAL-R,GRIAZ3A -CA7AZ3A,488
ACNAL-R,CA7AZ3A -C4BCB1A,402
ACNAL-R,C4BCB1A -MELCB1A,560
ACNAL-R,MELCB1A -JUDCB1A,390
ACNAL-R,JUDCB1A -MOCON1A,335
ADKAL-DI,EALCDIA -CESAZ3A,184
ADKAL-DI,CESAZ3A -CJGAZ3A,435
