RT_ID,SB_B,STOP_CD_B,SN_E,STOP_CD_E,DIST
VBRCSPC-N1,1,BALBO2A,13,URRACCA,17148
VBRCSPH-N1,1,BALBO2A,14,URRACCA,16516
VBRCSVV-N1,1,BALBO2A,10,VVETK2A,12377
VBRDDE1-N2,1,BALBO2A,12,VLUTM2A,6497
VBRDDPP-N2,1,BALBO2A,12,VLUTM2A,6287
ACNAL-I,1,EALCDIA,45,ZAITK1A,29437
ACNAL-R,1,ALBROCG,53,ZAITK2A,33317
BOMAL-DI,1,AMANE1A,60,ZAITK1A,30049
VBRDD99-N2,1,BALBO2A,11,VGAVR2A,5576
VBRDPPD-N2,1,BALBO2A,41,VLOVE2A,18369
VCACSPH-N1,1,PENAB1A,21,VBEMN1A,28539
VCADDE1-N2,1,PENAB1A,17,VBEMN1A,9353
VCAMDER-P2,1,PENAB1A,14,VBEMN1A,6275
DROCE-I,1,DORAD1A,35,VCAPZ3A,16916
DROCE-R,1,DORTM2A,2,DORTM2A,334
DROFI-I,1,DORAD1A,38,VCAPZ3A,30541
ADKAL-DI,1,EALCDIA,60,ZAITK1A,28776
BONAL-I,1,AMANE1A,43,ZAITK1A,29266
CHKCS-I,1,CHAGR1A,79,ZAITK1A,35307
VBRJAC1-N2,1,BALBO2A,18,VLOVE2A,7696
DOEFE-VI,1,NVAES2A,5,PARED2A,7680
DOEFE-VR,1,NTOPA2A,4,NVAES2A,3853
DOEMP-VI,1,PARED1A,4,PENAB1A,3878
DOEMP-VR,1,PENAB2A,4,PENAB2A,3647
DOEPA-VI,1,PPAPC2A,4,PPAPC2A,13715
DOEPA-VR,1,NTOPA2A,3,PPAPC1A,9559
DOETO-VI,1,PARED1A,4,PARED1A,5434
DOETO-VR,1,ESTASIC,4,TOCTO1A,4907
DOE24,1,PARED2A,19,PARED2A,5464
DROFI-R,1,DORTM2A,2,DORTM2A,334
D2SMA-I,1,PARED1A,27,URRACCA,29051
D2SMA-R,1,ESTAMAD,26,PMAPA4A,29572
VAMCNPH-N1,1,AMANE2A,28,ZAITK1A,23630
ALKCO,1,ALLSB1A,17,ZLCSB1A,19299
BONAL-R,1,ALBROCG,49,ZAITK2A,31566
CASMA-I,1,CPRAD1A,23,VERDB1A,21358
VBRJADB-N2,1,BALBO2A,21,VLOVE2A,9311
VBRJAEB-N2,1,BALBO2A,2,ETBVE1A,747
VBRJAEL-N2,1,BALBO2A,2,ETBVE2A,48
VBRJASP-N2,1,BALBO2A,10,VLOVE2A,3936
VBRJTER-N2,1,BALBO2A,21,VLOVE2A,8050
VBRJTP2-N2,1,BALBO2A,27,VLOVE2A,10682
VCAMTP2-P2,1,PENAB1A,13,VBEMN1A,4616
VCAPAPD-P2,1,PENAB1A,18,VBEMN1A,6676
D2SMA-TR,1,ESTAMAD,32,ROYCS2A,30827
VCAPDC1-P2,1,PENAB1A,20,VBEMN1A,8975
VBIJADR-N2,1,BALBO1A,42,VLOVE2A,20395
VBIJADX-N2,1,BALBO1A,43,VLOVE2A,21246
CASMA-R,1,ESTAMAB,22,VERDB2A,21273
VBIJTP2-P2,1,BALBO1A,28,VLOVE2A,12173
CHFAL-R,1,ALBROCH,38,VUNTK2A,35160
VBRJTSI-N2,1,BALBO2A,26,YSAJO1A,10478
VBRVECV-N1,1,BALBO2A,19,ULAVE1A,6843
VB1CBPO-N2,1,DONBN2A,64,ZAITK1A,30819
VCAPDDB-P2,1,PENAB1A,16,VBEMN1A,8481
VCAPDPP-P2,1,PENAB1A,23,VBEMN1A,12186
VBIJAEB-P2,1,BALBO1A,3,ETBVE2A,2162
VBIJAEL-P2,1,BALBO1A,2,ETBVE2A,1463
VBIJAES-P2,1,BALBO1A,49,VLOVE2A,22125
VBIJTP6-N2,1,BALBO1A,29,VLOVE2A,13185
VBIJTSI-N2,1,BALBO1A,27,YSAJO1A,11969
VB1CCPB-N2,1,DONBN2A,47,VLITK2A,23030
EARCH-I,1,DONBN2A,70,ZAITK1A,31312
VBIJAJV-N2,1,BALBO1A,21,VLOVE2A,10881
VBIJAJ2-N2,1,BALBO1A,15,VLOVE2A,9824
VBIJAMX-N2,1,BALBO1A,34,VLOVE2A,15935
VBIVECV-N1,1,BALBO1A,18,ULAVE1A,6129
VBNARST-N2,1,DONBN1A,42,VINTK1A,19020
VBNARV1-N2,1,DONBN1A,32,VINTK1A,15676
VCACSAL-N1,1,PENAB1A,22,VBEMN1A,30007
DOMAL-I,1,ESTA24A,59,VVETK1A,32728
VCEDDPP-N2,1,CVITM2A,2,PAPUE  ,196
VCHCBCR-N2,1,CHAGR2A,43,VUNTK1A,24580
ECTCG,1,ESTICAA,12,UNATK2A,3926
EVTPP,1,ESTVARA,13,VIAVB3A,6027
FEEDO,1,NVAES1A,21,PARED2A,11849
VBIJANI-N2,1,BALBO1A,47,VLOVE2A,24777
VBIJAP4-N2,1,BALBO1A,56,VLOVE2A,30483
BCSMA-I,1,VERDB2A,35,VERDB2A,26534
VBNCBAE-N2,1,DONBN1A,42,ZAITK1A,18556
DOMAL-R,1,ALBROCB,66,VVETK2A,34820
DOMCS-I,1,ESTA24A,49,VVETK1A,26427
