Hora,Ingresos
00:00:00,236.25
00:09:00,229.25
00:18:00,169.25
00:27:00,140.00
00:36:00,131.00
00:45:00,121.50
00:54:00,57.25
00:59:00,83.25
01:08:00,103.50
01:17:00,83.50
01:26:00,80.50
01:35:00,71.25
01:44:00,52.75
01:53:00,47.75
01:58:00,36.00
02:07:00,58.00
02:16:00,46.00
02:25:00,49.75
02:34:00,49.75
02:43:00,45.25
02:52:00,58.50
02:57:00,42.00
03:06:00,48.25
03:15:00,78.50
03:24:00,89.50
03:33:00,152.00
03:42:00,204.25
03:51:00,360.50
03:56:00,273.75
04:05:00,653.00
04:14:00,858.25
04:23:00,932.75
04:32:00,1146.75
04:41:00,1373.00
04:50:00,1521.20
04:55:00,798.30
04:59:00,177.50
05:04:00,2041.25
05:13:00,2264.50
05:22:00,2414.40
05:31:00,2587.25
05:40:00,2724.85
05:49:00,2858.50
05:54:00,986.80
05:58:00,626.20
06:03:00,3146.00
06:12:00,3522.30
06:21:00,3374.10
06:30:00,3346.00
06:39:00,3323.55
06:48:00,3130.25
06:53:00,711.85
06:57:00,1042.90
07:02:00,3095.00
07:11:00,3022.30
07:20:00,3066.60
07:29:00,2865.45
07:38:00,2723.95
07:47:00,2473.15
07:52:00,252.00
07:56:00,1009.95
08:01:00,2263.75
08:10:00,2072.70
08:19:00,1998.15
08:28:00,2021.95
08:37:00,2067.70
08:46:00,1885.25
08:55:00,1062.30
09:00:00,2035.95
09:09:00,1878.85
09:18:00,1963.10
09:27:00,1911.30
09:36:00,1988.60
09:45:00,1945.30
09:54:00,1168.10
09:59:00,1743.15
10:08:00,1900.35
10:17:00,1942.10
10:26:00,1995.00
10:35:00,1934.30
10:44:00,1771.70
10:53:00,1271.70
10:58:00,1095.75
11:07:00,1067.40
11:16:00,1007.05
11:25:00,993.25
11:34:00,1055.10
11:43:00,1027.75
11:52:00,945.65
11:57:00,688.40
12:06:00,1134.15
12:15:00,1075.45
12:24:00,1030.50
12:33:00,1028.60
12:42:00,1101.20
12:51:00,969.45
12:56:00,580.05
13:05:00,1053.10
13:14:00,1046.35
13:23:00,1015.75
13:32:00,1128.50
13:41:00,1104.10
13:50:00,1052.85
13:55:00,449.70
13:59:00,117.00
14:04:00,1146.50
14:13:00,1093.80
14:22:00,1114.15
14:31:00,1107.25
14:40:00,1149.30
14:49:00,1176.70
14:54:00,419.95
14:58:00,274.05
15:03:00,1274.25
15:12:00,1445.05
15:21:00,1565.95
15:30:00,1435.00
15:39:00,1591.90
15:48:00,1592.70
15:53:00,344.85
15:57:00,539.25
16:02:00,1626.85
16:11:00,1666.35
16:20:00,1617.35
16:29:00,1684.65
16:38:00,1873.50
16:47:00,1654.30
16:52:00,186.95
16:56:00,799.55
17:01:00,1799.25
17:10:00,1865.75
17:19:00,1870.75
17:28:00,1668.50
17:37:00,1783.10
17:46:00,1588.55
17:55:00,810.35
18:00:00,1508.15
18:09:00,1643.35
18:18:00,1603.40
18:27:00,1425.05
18:36:00,1428.65
18:45:00,1293.15
18:54:00,875.05
18:59:00,1085.45
19:08:00,1293.00
19:17:00,1170.85
19:26:00,945.00
19:35:00,1060.25
19:44:00,944.90
19:53:00,676.65
19:58:00,648.05
20:07:00,925.45
20:16:00,857.10
20:25:00,803.10
20:34:00,760.85
20:43:00,567.55
20:52:00,566.50
20:57:00,492.45
21:06:00,687.85
21:15:00,668.10
21:24:00,562.80
21:33:00,537.75
21:42:00,564.20
21:51:00,456.15
21:56:00,246.50
22:05:00,499.50
22:14:00,483.75
22:23:00,419.75
22:32:00,396.50
22:41:00,327.00
22:50:00,287.75
22:55:00,107.00
22:59:00,23.50
23:04:00,301.25
23:13:00,267.25
23:22:00,251.25
23:31:00,213.00
23:40:00,232.25
23:49:00,215.00
23:58:00,33.00
